               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.10128,             0.09863,            0.017624,              0.3394,             0.24545,             0.22048,             0.10811,            0.097461,             0.16115,            0.019924,            0.004304,            0.004304,            0.004304
                  37,             0.10087,             0.09665,            0.017561,             0.33362,             0.24575,             0.22254,             0.11052,            0.097407,             0.16121,            0.019951,           0.0041984,           0.0041984,           0.0041984
                  38,             0.10067,            0.096944,            0.017571,             0.32562,             0.24671,             0.22383,             0.11074,            0.097358,             0.16109,            0.019902,           0.0040928,           0.0040928,           0.0040928
                  39,             0.10078,            0.097195,            0.017493,             0.33579,             0.24693,             0.22283,             0.11042,            0.097334,             0.16116,            0.019932,           0.0039872,           0.0039872,           0.0039872
                  40,             0.10042,            0.096591,            0.017433,             0.32979,              0.2476,             0.22564,             0.11113,            0.097244,             0.16105,            0.019855,           0.0038816,           0.0038816,           0.0038816
                  41,             0.10072,            0.096556,            0.017415,             0.33648,             0.24945,             0.22524,             0.11226,            0.097279,              0.1614,            0.019824,            0.003776,            0.003776,            0.003776
                  42,             0.10049,            0.096698,            0.017415,             0.34222,              0.2493,             0.22763,             0.11301,             0.09719,              0.1611,            0.019824,           0.0036704,           0.0036704,           0.0036704
                  43,             0.10058,            0.096939,            0.017391,             0.33571,             0.24561,             0.22765,             0.11244,            0.097242,             0.16103,            0.019826,           0.0035648,           0.0035648,           0.0035648
                  44,             0.10069,            0.097035,            0.017318,             0.33606,             0.25067,             0.22699,             0.11266,            0.097236,             0.16102,            0.019797,           0.0034592,           0.0034592,           0.0034592
                  45,             0.10013,            0.096563,            0.017264,             0.33272,             0.25339,             0.22778,             0.11347,            0.097158,             0.16084,            0.019783,           0.0033536,           0.0033536,           0.0033536
                  46,             0.10033,            0.096516,            0.017239,             0.34242,             0.25065,             0.22952,             0.11438,              0.0971,             0.16091,            0.019801,            0.003248,            0.003248,            0.003248
                  47,              0.1004,            0.097077,            0.017299,             0.33778,              0.2505,             0.22971,             0.11396,            0.097077,             0.16082,            0.019794,           0.0031424,           0.0031424,           0.0031424
                  48,             0.10035,             0.09721,            0.017269,             0.32971,             0.25967,             0.22936,             0.11447,            0.097037,              0.1608,            0.019799,           0.0030368,           0.0030368,           0.0030368
                  49,             0.10029,             0.09619,            0.017176,             0.33411,             0.25595,             0.22816,             0.11447,            0.097039,             0.16085,            0.019766,           0.0029312,           0.0029312,           0.0029312
                  50,             0.10002,            0.095863,            0.017168,             0.33727,             0.25484,             0.22935,             0.11446,            0.096994,              0.1608,            0.019766,           0.0028256,           0.0028256,           0.0028256
                  51,             0.10008,            0.096426,            0.017177,              0.3323,             0.25515,             0.22959,             0.11476,            0.096998,             0.16074,            0.019778,             0.00272,             0.00272,             0.00272
                  52,             0.10004,            0.096038,            0.017121,             0.33127,             0.25368,             0.22949,             0.11504,            0.097013,             0.16081,             0.01975,           0.0026144,           0.0026144,           0.0026144
                  53,            0.099905,             0.09603,            0.017081,              0.3298,             0.25566,             0.23096,             0.11523,            0.096971,             0.16068,            0.019709,           0.0025088,           0.0025088,           0.0025088
                  54,             0.10047,            0.096937,            0.017126,              0.3333,             0.25617,             0.23203,             0.11612,            0.096929,             0.16078,            0.019716,           0.0024032,           0.0024032,           0.0024032
                  55,             0.10012,            0.096616,            0.017083,             0.34077,             0.25478,               0.231,             0.11581,            0.096942,             0.16075,            0.019754,           0.0022976,           0.0022976,           0.0022976
                  56,            0.099958,            0.095845,            0.017038,             0.34043,              0.2582,             0.23142,             0.11548,            0.096907,             0.16077,             0.01972,            0.002192,            0.002192,            0.002192
                  57,            0.099587,            0.096028,            0.017004,             0.33939,              0.2564,             0.23112,             0.11564,            0.096905,             0.16077,            0.019693,           0.0020864,           0.0020864,           0.0020864
                  58,            0.099644,            0.096705,            0.016964,             0.33733,             0.25642,             0.23134,             0.11571,              0.0969,             0.16074,            0.019708,           0.0019808,           0.0019808,           0.0019808
                  59,            0.099992,             0.09585,            0.016913,             0.33292,             0.26064,              0.2331,             0.11657,            0.096917,             0.16074,            0.019702,           0.0018752,           0.0018752,           0.0018752
                  60,            0.099576,            0.095946,             0.01694,             0.33179,             0.26018,             0.23384,             0.11708,            0.096907,             0.16068,            0.019684,           0.0017696,           0.0017696,           0.0017696
                  61,            0.099441,            0.096026,             0.01686,             0.33808,             0.25912,             0.23351,             0.11684,            0.096897,             0.16062,            0.019681,            0.001664,            0.001664,            0.001664
                  62,            0.099939,            0.095968,            0.016891,             0.34055,             0.25995,             0.23279,             0.11723,            0.096869,             0.16061,            0.019679,           0.0015584,           0.0015584,           0.0015584
                  63,            0.099986,             0.09601,             0.01695,             0.34281,             0.25867,             0.23461,             0.11759,             0.09686,             0.16061,            0.019683,           0.0014528,           0.0014528,           0.0014528
                  64,            0.099427,            0.094874,            0.016805,              0.3434,             0.25862,             0.23527,             0.11817,            0.096847,             0.16065,            0.019703,           0.0013472,           0.0013472,           0.0013472
                  65,            0.099586,            0.095312,            0.016912,             0.34634,             0.25859,             0.23514,             0.11794,            0.096851,             0.16061,            0.019704,           0.0012416,           0.0012416,           0.0012416
                  66,            0.099439,             0.09553,            0.016865,             0.34654,             0.25975,             0.23504,             0.11769,            0.096822,             0.16061,            0.019699,            0.001136,            0.001136,            0.001136
                  67,            0.099742,            0.097121,            0.016849,             0.34384,             0.25913,             0.23489,             0.11791,            0.096811,             0.16065,            0.019687,           0.0010304,           0.0010304,           0.0010304
                  68,            0.099201,             0.09519,            0.016755,             0.34348,             0.25935,             0.23452,             0.11797,            0.096806,             0.16068,            0.019688,           0.0009248,           0.0009248,           0.0009248
                  69,            0.099489,            0.095189,            0.016805,               0.342,             0.25888,             0.23487,             0.11794,            0.096799,             0.16067,            0.019686,           0.0008192,           0.0008192,           0.0008192
                  70,            0.099494,            0.095553,            0.016863,             0.34225,             0.25764,             0.23488,             0.11821,            0.096803,             0.16066,            0.019686,           0.0007136,           0.0007136,           0.0007136
                  71,            0.099149,            0.095021,            0.016722,             0.33943,             0.25948,             0.23498,             0.11827,            0.096801,             0.16061,            0.019675,            0.000608,            0.000608,            0.000608
                  72,            0.099328,            0.094361,            0.016667,             0.34056,             0.25855,             0.23497,             0.11835,            0.096792,             0.16064,            0.019671,           0.0005024,           0.0005024,           0.0005024
                  73,            0.099181,            0.094732,            0.016635,             0.34172,             0.25769,             0.23495,             0.11838,            0.096788,             0.16063,            0.019676,           0.0003968,           0.0003968,           0.0003968
                  74,            0.099415,             0.09501,            0.016679,             0.34146,             0.25724,             0.23516,             0.11847,            0.096782,             0.16064,            0.019677,           0.0002912,           0.0002912,           0.0002912
