               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13023,            0.068069,            0.031543,             0.15355,              0.1015,            0.056432,            0.022431,               0.111,             0.16125,            0.027768,            0.070037,           0.0033292,           0.0033292
                   1,             0.10944,            0.086505,            0.024584,             0.16823,             0.14432,            0.073667,            0.028474,             0.10692,             0.16643,            0.025084,            0.039407,           0.0060327,           0.0060327
                   2,             0.10657,            0.086757,            0.023052,              0.2919,             0.16811,            0.092767,            0.038004,             0.10446,              0.1668,            0.024247,           0.0066181,           0.0065769,           0.0065769
                   3,             0.10247,            0.086012,            0.022318,             0.33204,             0.16953,             0.10514,            0.047078,             0.10213,             0.16603,            0.023684,           0.0035204,           0.0035204,           0.0035204
                   4,             0.10147,            0.085042,            0.021712,               0.329,             0.17737,             0.11356,             0.05137,             0.10167,             0.16576,            0.023359,           0.0035204,           0.0035204,           0.0035204
