               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13021,            0.068094,            0.031541,             0.25414,            0.099511,            0.055968,            0.022329,             0.11097,             0.16147,            0.027741,            0.070037,           0.0033292,           0.0033292
                   1,             0.10945,            0.086502,            0.024592,             0.16805,             0.14655,             0.07591,            0.029396,             0.10704,             0.16628,            0.025112,            0.039407,           0.0060327,           0.0060327
                   2,             0.10651,            0.086791,            0.023063,             0.29785,             0.16421,            0.089139,            0.033961,             0.10543,             0.16592,            0.024163,           0.0066181,           0.0065769,           0.0065769
                   3,             0.10244,            0.086019,            0.022315,             0.33313,             0.17225,             0.10593,            0.047765,             0.10215,             0.16589,            0.023652,           0.0035204,           0.0035204,           0.0035204
                   4,             0.10152,            0.085098,            0.021709,             0.33453,             0.17828,             0.11347,            0.051168,             0.10165,             0.16573,            0.023397,           0.0035204,           0.0035204,           0.0035204
