               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1322,            0.065504,            0.032279,            0.046164,            0.099436,            0.052298,            0.020718,             0.11329,             0.15838,            0.028149,            0.070037,           0.0033292,           0.0033292
                   1,             0.11165,            0.084664,            0.024858,               0.117,             0.12935,            0.071954,             0.02751,             0.11015,             0.16526,            0.025256,            0.039407,           0.0060327,           0.0060327
                   2,             0.10865,            0.085375,            0.023087,             0.10412,              0.1428,             0.08464,            0.034486,             0.10788,             0.16361,            0.024455,           0.0066181,           0.0065769,           0.0065769
                   3,             0.10489,            0.084718,            0.022353,             0.33062,               0.167,             0.10405,            0.046475,             0.10497,             0.16362,            0.023996,           0.0035204,           0.0035204,           0.0035204
                   4,             0.10372,            0.083892,            0.021774,              0.3266,              0.1756,             0.11283,            0.050044,             0.10425,             0.16432,            0.023811,           0.0035204,           0.0035204,           0.0035204
