               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.093017,            0.074522,            0.002061,             0.39188,             0.21586,             0.24533,             0.11739,             0.10056,             0.18494,           0.0024624,           0.0074347,           0.0074347,           0.0074347
                  36,            0.092739,            0.074215,           0.0020041,             0.39436,             0.22156,             0.24501,             0.11772,             0.10068,             0.18703,            0.002508,           0.0072973,           0.0072973,           0.0072973
                  37,            0.092579,            0.073933,           0.0020092,             0.37816,             0.21474,             0.24338,             0.11782,             0.10067,             0.18712,           0.0025268,           0.0071576,           0.0071576,           0.0071576
                  38,            0.092555,            0.073748,           0.0020042,             0.38443,             0.22169,             0.24657,              0.1191,             0.10054,             0.18542,           0.0025116,           0.0070159,           0.0070159,           0.0070159
                  39,            0.092377,            0.073273,           0.0019671,             0.38479,             0.21127,             0.24462,             0.11751,             0.10065,             0.18692,           0.0025445,           0.0068722,           0.0068722,           0.0068722
                  40,            0.092215,            0.073115,           0.0019719,             0.38108,             0.21395,             0.24309,             0.11759,             0.10084,             0.18822,           0.0025314,           0.0067268,           0.0067268,           0.0067268
                  41,            0.092057,            0.072794,           0.0019285,             0.36689,             0.21913,             0.24443,             0.11833,             0.10086,             0.18791,           0.0025729,           0.0065796,           0.0065796,           0.0065796
                  42,            0.092016,            0.072476,           0.0019199,             0.37774,             0.21214,             0.24279,             0.11751,             0.10082,             0.18786,           0.0025736,            0.006431,            0.006431,            0.006431
                  43,            0.091961,            0.072266,            0.001916,             0.37996,             0.21555,             0.24392,             0.11822,             0.10088,             0.18944,           0.0025574,            0.006281,            0.006281,            0.006281
                  44,            0.091671,             0.07191,           0.0018841,             0.36894,             0.21283,             0.24265,             0.11779,             0.10096,             0.18952,            0.002591,           0.0061298,           0.0061298,           0.0061298
                  45,             0.09165,             0.07168,            0.001884,             0.39597,             0.21559,             0.24351,             0.11768,             0.10091,             0.18905,           0.0025987,           0.0059775,           0.0059775,           0.0059775
                  46,            0.091468,            0.071349,           0.0018692,              0.3586,             0.21634,             0.24187,             0.11712,             0.10113,              0.1909,           0.0025996,           0.0058244,           0.0058244,           0.0058244
                  47,             0.09118,             0.07115,           0.0018428,             0.35289,             0.21057,             0.24149,              0.1178,              0.1011,             0.19031,           0.0026387,           0.0056704,           0.0056704,           0.0056704
                  48,            0.091134,            0.070836,           0.0018321,             0.39135,             0.21077,             0.24471,             0.11823,              0.1011,             0.19123,           0.0025937,           0.0055158,           0.0055158,           0.0055158
                  49,            0.091057,            0.070653,           0.0018185,             0.38204,              0.2058,             0.24186,              0.1168,             0.10113,             0.19128,           0.0026025,           0.0053608,           0.0053608,           0.0053608
                  50,            0.090875,            0.070309,            0.001788,             0.37372,             0.21135,             0.24113,             0.11688,             0.10143,               0.193,           0.0026261,           0.0052055,           0.0052055,           0.0052055
                  51,             0.09075,            0.070033,           0.0017868,              0.3753,             0.21341,             0.23995,              0.1161,             0.10141,             0.19285,           0.0026002,             0.00505,             0.00505,             0.00505
                  52,            0.090634,            0.069586,           0.0017721,             0.35848,             0.20907,             0.24069,             0.11675,             0.10146,             0.19387,           0.0026442,           0.0048945,           0.0048945,           0.0048945
                  53,            0.090509,            0.069394,           0.0017509,             0.35523,             0.21261,             0.24168,             0.11658,             0.10157,             0.19482,           0.0026764,           0.0047392,           0.0047392,           0.0047392
                  54,             0.09038,            0.069205,           0.0017426,             0.35864,             0.20971,               0.239,             0.11599,             0.10148,             0.19369,           0.0026838,           0.0045842,           0.0045842,           0.0045842
