               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.09702,             0.10358,            0.025219,             0.26779,             0.21647,             0.17702,            0.082144,             0.10423,             0.24167,            0.038573,            0.007816,            0.007816,            0.007816
                  37,            0.096716,             0.10324,            0.025096,             0.26257,             0.22185,             0.17693,            0.082623,             0.10426,             0.23887,            0.040184,           0.0077031,           0.0077031,           0.0077031
                  38,            0.096639,             0.10275,            0.024867,              0.2722,             0.21487,             0.17566,            0.082539,             0.10402,             0.24104,            0.039364,           0.0075886,           0.0075886,           0.0075886
                  39,            0.096598,              0.1019,            0.024698,             0.26478,             0.22559,              0.1794,            0.082408,             0.10401,             0.23807,            0.038559,           0.0074725,           0.0074725,           0.0074725
                  40,            0.096497,             0.10238,            0.024712,             0.26325,             0.21999,             0.17853,            0.083789,             0.10396,             0.23812,            0.039145,            0.007355,            0.007355,            0.007355
                  41,            0.096365,             0.10179,            0.024514,             0.26642,             0.21797,              0.1753,            0.081907,             0.10426,             0.24463,             0.03964,           0.0072361,           0.0072361,           0.0072361
                  42,              0.0962,             0.10115,            0.024356,             0.27936,             0.21714,             0.17929,            0.083769,             0.10411,             0.24469,             0.03903,            0.007116,            0.007116,            0.007116
                  43,            0.096021,             0.10017,             0.02424,             0.26232,             0.21827,             0.17664,            0.084401,             0.10451,             0.24876,            0.040397,           0.0069948,           0.0069948,           0.0069948
                  44,            0.095944,             0.10019,             0.02403,             0.25644,             0.22177,             0.17577,            0.082331,             0.10431,             0.24382,            0.040777,           0.0068726,           0.0068726,           0.0068726
                  45,            0.095671,             0.09963,            0.023881,             0.27206,             0.21704,             0.17886,            0.084455,             0.10431,             0.24504,            0.039562,           0.0067495,           0.0067495,           0.0067495
                  46,            0.095629,            0.099634,            0.023722,             0.27027,             0.21559,             0.18064,            0.084305,             0.10406,             0.24345,            0.040033,           0.0066257,           0.0066257,           0.0066257
                  47,            0.095535,            0.098886,             0.02366,             0.26375,             0.21079,             0.17568,            0.082425,              0.1046,             0.24894,            0.040812,           0.0065013,           0.0065013,           0.0065013
                  48,            0.095345,            0.098494,            0.023432,              0.2587,             0.21808,             0.17166,             0.07991,             0.10476,             0.24662,            0.040288,           0.0063764,           0.0063764,           0.0063764
                  49,            0.095276,            0.098062,            0.023211,             0.26955,             0.22321,             0.17918,            0.085434,              0.1043,             0.24906,            0.040501,           0.0062512,           0.0062512,           0.0062512
                  50,            0.095217,            0.097428,            0.023112,             0.27289,             0.21262,             0.17542,            0.082453,             0.10461,             0.24869,            0.040897,           0.0061256,           0.0061256,           0.0061256
                  51,            0.095226,            0.098143,            0.023106,             0.26508,             0.21875,             0.17772,            0.082799,             0.10461,             0.24933,            0.040742,               0.006,               0.006,               0.006
                  52,            0.094908,            0.096923,            0.022994,              0.2713,             0.21321,             0.17618,            0.082118,             0.10456,             0.25238,            0.041818,           0.0058744,           0.0058744,           0.0058744
                  53,            0.094849,            0.097093,            0.022665,               0.275,             0.21597,             0.17638,            0.082544,             0.10448,             0.25163,            0.040975,           0.0057488,           0.0057488,           0.0057488
                  54,            0.094881,            0.096672,            0.022589,             0.27699,             0.21381,             0.17593,            0.081534,             0.10481,             0.25261,            0.041616,           0.0056236,           0.0056236,           0.0056236
                  55,            0.094658,            0.095874,            0.022354,             0.27525,              0.2114,             0.17563,            0.082236,             0.10483,             0.25191,            0.041443,           0.0054987,           0.0054987,           0.0054987
                  56,            0.094684,            0.095631,             0.02237,             0.26858,             0.21283,             0.17239,            0.081588,             0.10473,             0.25269,            0.041825,           0.0053743,           0.0053743,           0.0053743
                  57,            0.094617,            0.095727,            0.022196,             0.26192,             0.21782,             0.17414,            0.081134,             0.10491,             0.25593,            0.041549,           0.0052505,           0.0052505,           0.0052505
                  58,             0.09402,            0.094308,            0.021811,             0.26497,              0.2102,              0.1718,            0.080323,             0.10502,             0.25731,            0.042504,           0.0051274,           0.0051274,           0.0051274
                  59,            0.094172,            0.094782,             0.02195,             0.26259,             0.20947,             0.17161,            0.080688,             0.10508,              0.2577,            0.042331,           0.0050052,           0.0050052,           0.0050052
                  60,            0.094092,            0.094532,            0.021702,             0.26214,             0.21445,             0.17344,            0.081303,             0.10507,             0.25732,            0.042274,            0.004884,            0.004884,            0.004884
                  61,            0.093972,            0.094431,            0.021673,             0.27003,             0.21309,             0.17245,            0.080616,             0.10521,             0.25957,            0.042719,           0.0047639,           0.0047639,           0.0047639
                  62,            0.093755,            0.093515,            0.021447,             0.26538,             0.20707,             0.17059,            0.080114,             0.10529,             0.25954,            0.043005,            0.004645,            0.004645,            0.004645
                  63,            0.093936,             0.09336,            0.021366,             0.26285,             0.21219,              0.1708,            0.079902,             0.10525,             0.26003,            0.043283,           0.0045275,           0.0045275,           0.0045275
                  64,            0.093733,            0.093264,            0.021212,             0.26038,             0.21115,             0.16968,            0.079277,             0.10537,             0.26087,            0.043175,           0.0044114,           0.0044114,           0.0044114
                  65,            0.093573,            0.093059,            0.021076,             0.25198,             0.21843,             0.16894,            0.079173,             0.10551,             0.26275,            0.043999,           0.0042969,           0.0042969,           0.0042969
                  66,            0.093417,            0.092516,            0.020954,             0.25759,             0.21171,             0.16816,            0.078361,             0.10547,             0.26242,            0.044087,            0.004184,            0.004184,            0.004184
                  67,            0.093467,            0.092533,            0.020839,             0.26236,             0.21073,             0.16725,            0.078217,             0.10559,             0.26343,            0.043959,            0.004073,            0.004073,            0.004073
                  68,            0.093413,              0.0921,            0.020727,             0.26112,             0.21039,             0.16626,            0.077761,              0.1055,             0.26334,            0.044449,           0.0039638,           0.0039638,           0.0039638
                  69,            0.093108,            0.091329,            0.020595,             0.26388,             0.20982,             0.16575,            0.077369,             0.10572,             0.26601,            0.044475,           0.0038567,           0.0038567,           0.0038567
                  70,            0.093233,             0.09199,             0.02048,             0.26537,             0.21169,             0.16776,            0.078153,             0.10567,              0.2653,            0.044831,           0.0037517,           0.0037517,           0.0037517
                  71,            0.093079,            0.091158,            0.020379,             0.26488,             0.21136,             0.16615,            0.077588,             0.10579,              0.2671,            0.044964,           0.0036489,           0.0036489,           0.0036489
                  72,            0.093011,            0.090602,            0.020232,             0.26411,             0.21004,             0.16601,             0.07771,             0.10584,             0.26845,            0.045299,           0.0035484,           0.0035484,           0.0035484
                  73,            0.092819,            0.090276,            0.020013,             0.26646,             0.20722,             0.16568,            0.077291,             0.10585,             0.26871,             0.04538,           0.0034503,           0.0034503,           0.0034503
                  74,            0.092903,            0.090474,            0.020061,             0.26007,             0.21014,             0.16495,            0.077269,             0.10588,             0.26944,            0.045642,           0.0033548,           0.0033548,           0.0033548
                  75,            0.092744,            0.090182,            0.019787,             0.25984,             0.20973,             0.16537,            0.076949,             0.10596,             0.27047,            0.045763,           0.0032618,           0.0032618,           0.0032618
                  76,            0.092607,            0.089811,            0.019678,             0.25787,             0.20714,             0.16396,            0.076664,             0.10598,              0.2708,            0.045842,           0.0031716,           0.0031716,           0.0031716
                  77,            0.092637,            0.089562,            0.019599,             0.25677,             0.20741,             0.16373,            0.076203,             0.10605,             0.27141,            0.046007,           0.0030841,           0.0030841,           0.0030841
                  78,            0.092286,            0.089118,            0.019467,              0.2567,             0.20795,             0.16382,            0.076489,              0.1061,             0.27231,            0.046355,           0.0029996,           0.0029996,           0.0029996
                  79,            0.092324,            0.089594,            0.019459,             0.25654,              0.2086,             0.16286,            0.076215,             0.10617,             0.27264,            0.046547,           0.0029179,           0.0029179,           0.0029179
                  80,            0.092361,            0.088809,            0.019348,             0.25652,             0.20597,             0.16239,            0.075834,             0.10628,              0.2739,            0.046919,           0.0028394,           0.0028394,           0.0028394
