               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.089904,            0.069797,            0.015089,             0.25648,             0.21173,             0.17421,            0.083776,            0.098994,             0.18156,            0.022262,            0.002872,            0.002872,            0.002872
                  38,            0.089815,            0.069406,            0.014996,              0.2481,             0.21407,             0.17535,            0.084619,            0.098859,             0.18154,            0.022286,            0.002674,            0.002674,            0.002674
                  39,            0.089748,            0.069132,            0.014923,             0.26141,             0.20787,             0.17452,            0.084405,            0.098839,             0.18082,            0.022125,            0.002476,            0.002476,            0.002476
                  40,              0.0894,            0.068664,            0.014789,             0.26629,             0.21474,             0.17722,            0.085044,            0.099004,              0.1821,            0.022238,            0.002278,            0.002278,            0.002278
                  41,             0.08933,            0.068294,            0.014686,             0.27096,             0.21255,             0.17723,            0.085952,            0.099031,             0.18278,            0.022288,             0.00208,             0.00208,             0.00208
                  42,            0.089215,            0.067929,            0.014569,             0.26394,             0.21234,             0.17603,            0.084476,            0.099131,             0.18332,            0.022321,            0.001882,            0.001882,            0.001882
                  43,            0.089182,            0.067752,            0.014569,             0.27628,             0.21138,              0.1765,            0.085215,              0.0992,             0.18454,             0.02247,            0.001684,            0.001684,            0.001684
                  44,            0.088917,             0.06744,            0.014469,              0.2654,             0.21138,             0.17672,            0.084862,            0.099207,             0.18461,            0.022526,            0.001486,            0.001486,            0.001486
                  45,            0.088835,            0.067167,            0.014375,             0.26906,             0.20995,              0.1763,            0.085126,            0.099286,             0.18469,            0.022502,            0.001288,            0.001288,            0.001288
                  46,            0.088809,            0.066863,            0.014295,             0.26684,             0.20978,             0.17514,            0.084576,            0.099325,             0.18521,            0.022582,             0.00109,             0.00109,             0.00109
                  47,            0.088435,            0.066609,            0.014252,             0.26574,             0.21053,             0.17513,            0.084003,            0.099363,             0.18572,             0.02264,            0.000892,            0.000892,            0.000892
                  48,            0.088368,            0.066263,            0.014116,             0.26049,              0.2082,             0.17409,            0.084455,            0.099483,             0.18644,            0.022745,            0.000694,            0.000694,            0.000694
                  49,            0.088336,            0.066074,            0.014078,             0.26089,             0.20844,             0.17433,            0.084148,            0.099487,             0.18652,            0.022768,            0.000496,            0.000496,            0.000496
